web-scraper-order,web-scraper-start-url,Listing,Price,Shipping,Total sold,Revenue,Bids,Date
"1700761249-1","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP - WOW !Apple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP - WOW !","$723.48Fixed price","$10.83100% Free shipping","2,209","$1,598,176.43","–","Nov 19, 2023"
"1700761249-2","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP  - WOWApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP  - WOW","$784.26Fixed price","$11.36100% Free shipping","2,094","$1,642,235.36","–","Sep 14, 2022"
"1700761249-3","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVPApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP","$739.64Fixed price","$0.00100% Free shipping","2,066","$1,528,089.80","–","Feb 2, 2023"
"1700761249-4","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG WIE NEUApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG WIE NEU","$653.04Fixed price","$8.5399% Free shipping","1,798","$1,174,168.98","–","Mar 26, 2023"
"1700761249-5","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVPApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVP","$750.19Fixed price","$10.36100% Free shipping","1,044","$783,193.38","–","Feb 2, 2023"
"1700761249-6","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT -  NEU & OVP  - WOWApple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT -  NEU & OVP  - WOW","$797.37Fixed price","$10.97100% Free shipping","932","$743,152.55","–","Sep 9, 2022"
"1700761249-7","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini  128GB  Blau NEU OVP Ohne Vertrag WOWApple iPhone 13 Mini  128GB  Blau NEU OVP Ohne Vertrag WOW","$788.86Fixed price","$11.32100% Free shipping","883","$696,561.63","–","Sep 8, 2022"
"1700761249-8","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN 🔥 NEU & OVP 🔥 OHNE SIMLOCKApple iPhone 13 Mini - 128GB - GRÜN 🔥 NEU & OVP 🔥 OHNE SIMLOCK","$737.43Fixed price","$10.55100% Free shipping","797","$587,735.37","–","Sep 6, 2022"
"1700761249-9","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAGApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG","$619.13Fixed price","$8.59100% Free shipping","708","$438,342.33","–","Jun 9, 2023"
"1700761249-10","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Mitternacht Schwarz 5G 5,4"" IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Mitternacht Schwarz 5G 5,4"" IOS Smartphone NEU OVP","$813.42Fixed price","$0.00100% Free shipping","647","$526,281.16","–","Mar 26, 2023"
