Title,Price,Model,Storage,ReleaseDate,ReleasePrice,DiscountPerYear
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,262.45,iPhone XR,64,2018-10-26,749,81.09166666666667
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,267.45,iPhone XR,64,2018-10-26,749,80.25833333333334
Apple iPhone XR - 64GB 128GB - Unlocked Verizon AT&T T-Mobile Metro - Excellent!,234.95,iPhone XR,64,2018-10-26,749,85.675
Apple iPhone XR 128GB Blue Unlocked Cracked Screen - Fully Functional!,159.99,iPhone XR,128,2018-10-26,799,106.50166666666667
Apple iPhone XR - 64GB 128GB 256GB - All Colors - Very Good Condition,212.0,iPhone XR,64,2018-10-26,749,89.5
NEW LISTINGApple iPhone XR - 64GB - Black (Tracfone) (Read Description) EA1031,65.0,iPhone XR,64,2018-10-26,749,114.0
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,282.45,iPhone XR,64,2018-10-26,749,77.75833333333334
Apple iPhone X | XR | XS | XS Max 64GB 128GB 256GB Unlocked Verizon AT&T - Good!,252.45,iPhone XR,64,2018-10-26,749,82.75833333333334
Apple iPhone XR 128GB Unlocked Smartphone - Very Good,219.95,iPhone XR,128,2018-10-26,799,96.50833333333333
Apple iPhone XR - 256GB - (PRODUCT)RED (Unlocked) A1984 (CDMA + GSM),80.0,iPhone XR,256,2018-10-26,899,136.5
Apple iPhone XR Unlocked Various Colors 64GB 128GB 256GB Smartphone Used,262.49,iPhone XR,64,2018-10-26,749,81.085
Apple iPhone XR 64GB Factory Unlocked Smartphone Very Good Condition,213.0,iPhone XR,64,2018-10-26,749,89.33333333333333
Apple iPhone XR - 128GB - Factory Unlocked - Very Good Condition,249.99,iPhone XR,128,2018-10-26,799,91.50166666666667
Apple iPhone XR - 64-128-256GB - Fully Unlocked - (CDMA+GSM) - GOOD condition,189.99,iPhone XR,256,2018-10-26,899,118.16833333333334
Apple iPhone XR - 64GB - Black (Straight Talk) A1984 (CDMA + GSM),150.0,iPhone XR,64,2018-10-26,749,99.83333333333333
Apple iPhone XR - 64-128-256GB - Fully Unlocked (CDMA+GSM) - EXCELLENT Condition,212.49,iPhone XR,256,2018-10-26,899,114.41833333333334
Apple iPhone XR - 64GB - Black (Straight Talk/TraFone) Excellent Condition!,78.0,iPhone XR,64,2018-10-26,749,111.83333333333333
Apple iPhone XR 64GB RED - Sprint - iCloud OFF - cracked PARTS ONLY,89.0,iPhone XR,64,2018-10-26,749,110.0
NEW LISTINGApple iPhone XR 256GB Black Verizon No SIM with blue Speck C A S E,189.0,iPhone XR,256,2018-10-26,899,118.33333333333333
Apple iPhone XR 64GB 128GB 256GB - All Color - Unlocked - Excellent Condition,269.95,iPhone XR,64,2018-10-26,749,79.84166666666667
Apple iPhone XR 128GB Unlocked Excellent Condition,175.0,iPhone XR,128,2018-10-26,799,104.0
Apple iPhone XR 64GB Black STRAIGHT TALK ONLY,169.99,iPhone XR,64,2018-10-26,749,96.50166666666667
NEW LISTINGApple iPhone Xr - 128GB White - A1984 Unlocked - No Sim Restrictions,245.0,iPhone XR,128,2018-10-26,799,92.33333333333333
Sealed & New Apple iPhone XR Unlocked 128/256GB Smartphone A1984 GSM/CDMA,429.29,iPhone XR,256,2018-10-26,899,78.285
Apple iPhone XR - 64GB 128GB 256GB - Unlocked Verizon - Very Good Condition,234.99,iPhone XR,64,2018-10-26,749,85.66833333333334
Apple iPhone XR A1984 Fully Unlocked 128GB Blue (Good),249.99,iPhone XR,128,2018-10-26,799,91.50166666666667
Apple iPhone XR - 64GB - White (T-Mobile) A1984 (CDMA + GSM) Works - Read Desc.,139.95,iPhone XR,64,2018-10-26,749,101.50833333333333
Apple iPhone XR 64GB 128GB 256GB 4G LTE 4.7 Verizon Unlocked T-Mobile AT&T Ultra,274.99,iPhone XR,64,2018-10-26,749,79.00166666666667
Apple iPhone XR 64GB Coral Unlocked,249.99,iPhone XR,64,2018-10-26,749,83.16833333333334
Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone,209.5,iPhone XR,64,2018-10-26,749,89.91666666666667
"Unused & Sealed in Box Apple iPhone XR 128/256GB Unlocked Black 6.1"" Smartphone",427.16,iPhone XR,256,2018-10-26,899,78.64
Apple iPhone XR - 128GB - Verizon + GSM Unlocked T-Mobile AT&T 4G LTE- Open Box,254.97,iPhone XR,128,2018-10-26,799,90.67166666666667
Apple iPhone XR 64/128/256GB A1984 AT&T T-Mobile Verizon Unlocked Open Box,229.99,iPhone XR,256,2018-10-26,899,111.50166666666667
NEW OEM SEALED - Apple iPhone XR - 64GB - White (T-Mobile) A1984 (CDMA + GSM),269.95,iPhone XR,64,2018-10-26,749,79.84166666666667
Sealed Box Apple iPhone XR Unlocked 128/256GB Smartphone Verizon AT&T T-Mobile,431.29,iPhone XR,256,2018-10-26,899,77.95166666666667
